Product Name,Brand Name,Reviews
inSync Cloud,EP,"From a technical standpoint, it work perfectly. From an ITIL standpoint, there are some challenges around the lack of user centric reporting. From the Phoenix side, I would really like to see a way to remove a backup from configuration while maintaining the previous retention policy on the existing backup sets. Other things appear to have been added to your product roadmap (InSync data in Realize analytics, Path based retroactive compaction, Reporting on if a user is current vs just the device).",
inSync Cloud,EP,the communication with technical support and customer is very important and should be persistent.,
Phoenix Cloud,Enterprise,Thanks Sandeep for joining in at last minute and helping us to resolve the issue.,
Phoenix Cloud,Enterprise,nice,
inSync Cloud,EP,Excellent support,
inSync Cloud,EP,Very personable support rep. Great experience and communication,
Phoenix Cloud,Enterprise,Great,
Native Workloads (CloudRanger),Enterprise,Good work,
inSync Cloud,EP,need bare metal recovery option,
Native Workloads (CloudRanger),Enterprise,Deepjyoti provided a fantastic level of support and was very helpful in communicating the issue and resolving the issue.,
Phoenix Cloud,Enterprise,"Very knowledgeable, polite, professional and attentive. Excellent service. Thank you.",
inSync Cloud,EP,"Great, thanks!",
Phoenix Cloud,Enterprise,"Vikram was there for technical and emotional support as we resolved issues. After identifying the problem we got to a point that required another vendor to get involved. Once the ""other"" vendor performed their task, Vikram was ready willing and able to jump back on with me and complete the necessary steps. Now we are back up and running backups nightly.",
Endpoints,EP,"Take feedback, especially when a bug is discovered more seriously. Just telling customer ""oh, well, i guess I'll tell the engineering about this"" is not good enough.",
SaaS Apps,SaaS,"Druva is a solid platform, just keep improving the product by adding features. Support is top-notch.",
inSync Cloud,EP,Check the support cases inbound email e-support@druva.com. Found that my replied to that address didn't get added to a support case.,
inSync Cloud,EP,Keep up the good work.,
Native Workloads (CloudRanger),Enterprise,Very poor communication. Asked for updates and would never receive. Took 4 weeks for a fix.,
inSync Cloud,EP,amazing company and amazing IT,
inSync Cloud,EP,"I was very happy with the quick response upon opening a ticket and the willingness to jump on a call when it was clear the fastest resolution would be hands-on. Engaging and knowledgeable support from Mahesh Kadu, willing to answer questions and make sure I was aware of the ins and outs of my problem.",
inSync Cloud,EP,Amazing as always,
Phoenix Cloud,Enterprise,I am very happy with support and team member who elaborate the things very well.,
Phoenix Cloud,Enterprise,"Excellent, swift service as always. Always a pleasure.",
Native Workloads (CloudRanger),Enterprise,The engineer did not engage with me before closing the ticket and did not discuss alternatives.,
inSync Cloud,EP,Great Support,
Phoenix Cloud,Enterprise,"great support as always, love the fast responses, always a company you can rely on!",
SaaS Apps,SaaS,Thank you for working on this long pending item.,
inSync Cloud,EP,Support technician was very helpful and knowledgeable.,
inSync Cloud,EP,DOES NOT BACKUP TEAMS CHATS,
Endpoints,EP,Thank you Druva Support and thanks for quick response. And I really appreciate for Druva Team like Insync support or Phoenix Support,
inSync Cloud,EP,I hope the Reporting feature will be improved as promised.,
Phoenix Cloud,Enterprise,Excellent,
Native Workloads (CloudRanger),Enterprise,I was impressed that my support engineer quickly realized the developers of the s3archive product should be involved and connected us. It was a pleasure to speak with Tom Nijs on Friday and helped me understand the potential and limits of the new feature - as well as quickly determining the problem (the cloudranger console misidentified which subnets could connect to a public VPC address) and solving it. Thank you again!,
inSync Cloud,EP,Vipul was quite knowledgeable and gave us a good direction to start in.,
inSync Cloud,EP,Good,
inSync Cloud,EP,Mahesh got the issue and he was good to understand what customer is looking at..Thank you Mahesh for your support,
SaaS Apps,SaaS,"Faizan Sayyed was knowledgeable and friendly, followed up and was able to fix the issue we experienced.",
Phoenix Cloud,Enterprise,Great product and support!,
inSync Cloud,EP,Support engineer had no idea what I was talking about and insisted on calling me instead of responding with detail in the ticket.,
inSync Cloud,EP,Quick response. appreciated,
Phoenix Cloud,Enterprise,Kislay helped in resolving the customer's queries and at the same time collaborated with a cross functional team. Thank you Kislay!,
Phoenix Cloud,Enterprise,Kislay did great!,
inSync Cloud,EP,you should have a tool further the insync client to download backups when is not possible to access pc backup,
inSync Cloud,EP,Good,
inSync Cloud,EP,happy customer,
SaaS Apps,SaaS,great,
Phoenix Cloud,Enterprise,Vikrum was awesome!,
Phoenix Cloud,Enterprise,Sandeep was very responsive and knowledgable. Great support.,
Phoenix Cloud,Enterprise,Thanks!,
inSync Cloud,EP,Inexperienced support engineers created more problems than they solved showing poor internal communication. New hires need better and longer oversight,
inSync Cloud,EP,"After making an inquiry, I would like to evaluate the speed of response of the person in charge. Because the content you answered this time was the answer you wanted We are satisfied with the information you provided.",
inSync Cloud,EP,Thanks,
Phoenix Cloud,Enterprise,Pricing model is confusing. Initial engineer undersized our credits and we ran out before our renewal.,
Native Workloads (CloudRanger),Enterprise,Difficult situations but superior service from Druva prevails.,
Phoenix Cloud,Enterprise,"Giri Pillarigunta was extremely knowledgeable and provided excellent support. We were able to resolve my issue live on our first call. I'm happy that Druva has exceptionally capable engineers like Giri on-hand. Thank you! Viraj Talpade Sr. Manager, IT Infrastructure and Security Arcturus Therapeutics, Inc.",
Phoenix Cloud,Enterprise,Vishal Sarode was very helpful and very knowledgeable and able to assist and instruct at the same time. Well done Vishal,
inSync Cloud,EP,"We appreciate the quick response. In this case, I didn't have any particular questions about what you answered, which was helpful. Thank you very much.",
Phoenix Cloud,Enterprise,If there was a rate of 100% i'd rate it one,
Phoenix Cloud,Enterprise,Good Customer support,
inSync Cloud,EP,"We are translating from plain Japanese to English, but it may take some time to communicate with the support members because the translation accuracy is not high. However, I am grateful that the time it takes to ask a question and get an answer is short, and that the information provided is what I am looking for. Thank you very much. Regards, Kouji Kimura",
inSync Cloud,EP,Thank you Druva Support Team.,
Endpoints,EP,"Thanks, Mahesh",
inSync Cloud,EP,Rahul was very quickly dealing with our case and very good trouble shooting remotely and resolved the issue within a short time frame. Thanks once again always there for support.,
Phoenix Cloud,Enterprise,Technician was great.,
Native Workloads (CloudRanger),Enterprise,For freemium support the outcome was great. Thanks team.,
Phoenix Cloud,Enterprise,As usual Kislay Singh pulls through like a champ. Very responsive and professional. Always willing to go the extra step in explaining about things and the product,
inSync Cloud,EP,Support Engineer: Atul Bankar is outstanding as customer support engineer. He is not only superlative with his knowledge but also excellent in communication. He is a life saver! Also the staff member who answered my call and rerouted my case to Atul is truly a definition of what customer service should be. Outmost professionalism!,
Phoenix Cloud,Enterprise,Great support,
inSync On-Premise,EP,Thank you so much for your support and cooperation,
inSync Cloud,EP,I was stuck at one point of time and I took the help of Druva Support Engineer Sadiya Pathan. She gave great solution. She has great knowledge. Good luck for her future. Thanks.,
Phoenix Cloud,Enterprise,Sudhakar was awesome and pro!,
inSync Cloud,EP,great,
inSync Cloud,EP,great,
Phoenix Cloud,Enterprise,Good knowledge article for this issue that I raised.,
Phoenix Cloud,Enterprise,"Every time I have had to open a case, the response has been quick and accurate.",
Endpoints,EP,Nice support..Umesh is very helpful,
inSync Cloud,EP,Great work!!! ⭐️⭐️⭐️⭐️⭐️,
inSync Cloud,EP,Sadiya dedication will really much appreciated.,
inSync Cloud,EP,Sadiya Pathan has great knowledge. I have taken support from her second time. She is just great. Thanks.,
Phoenix Cloud,Enterprise,"Super fast support, helped me fix the issue almost instantly!",
inSync Cloud,EP,I am always grateful for your help. We are grateful for your polite answers to our questions. We look forward to working with you in the future.,
inSync Cloud,EP,Excellent support as always. You resolved the issue and kept me informed along the way... perfect.,
inSync Cloud,EP,Thank you for your prompt response.,
inSync Cloud,EP,Great support experience. Speedy resolution. Kudos!,
Phoenix Cloud,Enterprise,Sandeep was very helpful and professional! I appreciate the great resolution!,
Phoenix Cloud,Enterprise,The support was great,
Endpoints,EP,Thank you for your prompt response.,
Phoenix Cloud,Enterprise,service tech was excellent!,
inSync Cloud,EP,Thank you for your prompt response. We look forward to working with you in the future.,
inSync Cloud,EP,Thank you for your prompt response. We look forward to working with you in the future.,
inSync Cloud,EP,Thank you for your prompt response. We look forward to working with you in the future.,
inSync Cloud,EP,Excellent customer service. Easy to understand directions by the engineer. Issue was resolved quickly and easily.,
inSync Cloud,EP,"The engineer was very responsive with this request and explained everything clearly. As for Druva as a whole, the concerns we have about the product are being addressed. Highly recommended.",
inSync Cloud,EP,"Thumbs Up to Amar for helping us find the issue with the case. He was very patient, friendly, professional and knowledgeable during the troubleshooting!",
inSync Cloud,EP,"Thanks for the excellent support. As a new user this case was our 2nd interaction with the the support@druva, and I am glad to say that the support is excellent . Regards Rajeev Suri",
SaaS Apps,SaaS,Rohit communicated the solution very well. Took the extra steps needed to ensure we are good with all of our users included in this backup.,
Phoenix Cloud,Enterprise,"Support Engineer: Giri Pillarigunta Was was very helpful in knowledgeable, Druva should be proud of their support team.",
Phoenix Cloud,Enterprise,"Excellent response time, within 20 minutes. Fixes are correct the first time. could not be better.",
inSync Cloud,EP,Fantastic support as always. Thank you!,
Phoenix Cloud,Enterprise,"technician was extremely helpful and polite, KUDOS!!",
Phoenix Cloud,Enterprise,I am very satisfied with the support.,
Phoenix Cloud,Enterprise,"As usual, great support. Always timely and attention to my details.",
inSync Cloud,EP,N/A,
Phoenix Cloud,Enterprise,"Exceptional support experience. Sandeep went out of the way to help fix the issues with a very sensitive customer, that too on a very short notice.",
inSync Cloud,EP,Great support experience! Super fast resolution.,
inSync Cloud,EP,Keep up the good work Faizan!,
inSync Cloud,EP,"Shardul Kadam was one of the most helpful technicians I've worked with across many different vendors. He was calm, quickly addressed my incidents, and had expert knowledge to close the case swiftly. Well done Shardul!",
Endpoints,EP,"Shardul was great. Your KB article was inaccurate, this could have saved me some hours of troubleshooting.",
Phoenix Cloud,Enterprise,"There was in incident affecting all customers during the last three days. After I received the email that it was resolved, I still had performance issues with my backups. I opened a ticket and was kept in the loop until another patch was applied and the problem resolved. Performance has returned to normal. Druva support is doing a great job.",
inSync Cloud,EP,Speedy resolution!,
Phoenix Cloud,Enterprise,"As always, amazing tech support. Our original technician was not able to support us because we needed to meet at a later time and Kislay jumped in and was able to share his expertise with us. THANKS!!!",
Endpoints,EP,"Yash Sharma was a pleasure to work with. His knowledge of the product allowed him to rapidly identify our pain point, and his troubleshooting steps were cautious and allowed us to test our progress with each setting change, and I greatly appreciate that.",
inSync Cloud,EP,Thank you for your prompt response. Thank you for your continued support.,
Endpoints,EP,Thank you for your prompt response. Thank you for your continued support.,
inSync Cloud,EP,Thank you for your prompt response. Thank you for your continued support.,
Phoenix Cloud,Enterprise,Vishal has been an absolute fantastic engineer providing us solution even checking with the backend team and providing us with the special script that is needed. He also sometimes starts early to assist with the issues. Druva has been good product but in reason time major outage has caused some grievance and has made us to question our choice of vendor.,
Phoenix Cloud,Enterprise,Kislay is the best!! :-),
inSync Cloud,EP,Very responsive and great to work with!,
inSync Cloud,EP,Great support,
inSync Cloud,EP,"I am always grateful for your help. Thank you for your quick response. Sending a capture of the Japanese environment is a recognition that some support members understand Japanese, but is that okay?",
inSync Cloud,EP,"I am always grateful for your help. Thank you for your quick response. Sending a capture of the Japanese environment is a recognition that some support members understand Japanese, but is that okay?",
inSync Cloud,EP,We are always grateful for your help. And thank you for your prompt response.,
inSync Cloud,EP,Thank you very much.,
inSync Cloud,EP,Excellent support,
inSync On-Premise,EP,Highly Appreciate the support provided by Engineer Sadiya Pathan.,
Phoenix Cloud,Enterprise,Giri was great to work with! His commitment to getting the problem resolved was very helpful,
inSync Cloud,EP,good,
Phoenix Cloud,Enterprise,Druva's Backup solution's and Technical Support are World Class. Druva should be proud to have such amazing talented support Engineers .,
Endpoints,EP,Faizan was fantastic !!,
inSync Cloud,EP,N/A,
inSync On-Premise,EP,Thanks,
Phoenix Cloud,Enterprise,great package so far,
Phoenix Cloud,Enterprise,Kislay Singh was knowledgeable and professional. A very good support experience.,
Phoenix Cloud,Enterprise,A little more testing of features before rolling them into production would be nice. The n-hourly scheduled backup feature in Phoenix needs some work.,
SaaS Apps,SaaS,Druva Supports is best Support in world,
SaaS Apps,SaaS,The person I spoke with Atul was amazing. Knowledgeable and patient and my problem was resolved quickly.,
Phoenix Cloud,Enterprise,Giri Pillarigunta is very knowledgeable and professional we would like to always have him as our support tech.,
SaaS Apps,SaaS,Please increase the number of files that can be attached on the support portal,
SaaS Apps,SaaS,Excellent service,
SaaS Apps,SaaS,Great customer support. The representative was very prompt and helpful.,
Phoenix Cloud,Enterprise,I would like to see cost go down and renewal cost should decrease as a loyal customer.,
Phoenix Cloud,Enterprise,"Thank you for your prompt response. After the final answer, users often do not contact us for several days due to operation check. For this reason, it would be helpful if you could leave the case ""waiting for contact"" for a few days.",
Phoenix Cloud,Enterprise,Excellent product,
Phoenix Cloud,Enterprise,I really appreciate for support,
Endpoints,EP,The support technician was very knowledgeable and very helpful in answering our questions. Thank you.,
Phoenix Cloud,Enterprise,The cost of TB it would help if it was a bit lower especially if you need more TB to store your files.,
Endpoints,EP,Good support,
Endpoints,EP,Top most backup solution,
Phoenix Cloud,Enterprise,Sandeep was great. Quickly and effectively solved my issue.,
SaaS Apps,SaaS,Excellent support,
SaaS Apps,SaaS,The engineers I worked with were patient and stayed engaged until the issue was fixed and I appreciated their help. It did take awhile to get correct answers to some of my issues.,
Phoenix Cloud,Enterprise,"We are using Thick provisioned VM drives for our Windows File Server, and on the file server we are using the Microsoft Dedupe feature on the volumes. If we had known at the outset of using Druva backup that these two decisions were antithetical to the Druva backup experience, we would have changed them at the time and saved money. As it happened, these two things were not caught initially and resulted in us burning through our credits at a faster rate than initially proposed, thereby making the service cost significantly more over the year. Now that we know what to do to modify this, we can save some money and have better estimates on credit utilization.",
inSync On-Premise,EP,It should be illegal to be so Awesome Amar ! Thank you !,
Phoenix Cloud,Enterprise,Pradeep was very helpful and knowledgeable on assisting me with my technical needs.,
Endpoints,EP,Awesome support with continuous feedback until a successful resolution was achieved.,
Phoenix Cloud,Enterprise,Please create a button on the support portal just above the cases section to open a new case. The orange button at the bottom right is not so user friendly. Took me some time to figure out how to open a new ticket.,
Phoenix Cloud,Enterprise,Need to more improvement for restoration and a user guide for any crisis in the future. Cloud Cache is not working properly and restoration takes a long time to restore. Please get a better solution.,
SaaS Apps,SaaS,"There should be a link to the support portal in the product portals. Having to google, bookmark, or remember a support URL is a small hassle",
SaaS Apps,SaaS,"Rohit was wonderful to work with, very knowledgeable and helpful. He resolved the issue, we worked together to determine why notifications weren't received, corrected that also, etc. Excellent work and highest praise for Rohit.",
Endpoints,EP,Generally very pleased,
SaaS Apps,SaaS,The support experience was excellent.,
Phoenix Cloud,Enterprise,Good support by Ravi on this issue. He did a very good job investigating and explaining the issue and resolutions.,
Phoenix Cloud,Enterprise,"I really appreciate the amount of time that my support person spent with me. The problem was not resolved and I am not completely sure as to the explanation to the cause of this, but I have no way to refute it. I am exploring alternatives.",
Endpoints,EP,"As always, thank you for your quick response. Regards, Kouji Kimura",
Endpoints,EP,Good support,
inSync On-Premise,EP,Thanks,
Phoenix Cloud,Enterprise,Support is excellent as always. New product features being released will help.,
Endpoints,EP,I am always grateful for your help. Thank you for your prompt response.,
SaaS Apps,SaaS,"Thank you Druva Support I'm Really appreciate to Druva Technical Team like Mahesh, atul, Akshay, rahul, sadiya and so many engineer.",
Native Workloads (CloudRanger),Enterprise,"Thank you Druva Support I'm Really appreciate to Druva Technical Team like Mahesh, atul, Akshay, rahul, sadiya and so many engineer.",
Phoenix Cloud,Enterprise,I have always had excellent customer service with all Druva techs.,
Endpoints,EP,"Thank you Druva Support I'm Really appreciate to Druva Technical Team like Mahesh, atul, Akshay, rahul, sadiya and so many engineer.",
Endpoints,EP,I have experience excellent support from Druva support for my past cases. Aaquib was very helpful and was able to resolve my issue quickly and to my satisfaction.,
Phoenix Cloud,Enterprise,"A special thank you to Ravi for the follow up. I admit I was lazy with this one - he provided a solution but I was too busy with other things to get around with trying it. After he followed up and I explained that I wasn't able to get to it, he immediately called and started a screen-sharing session. He addressed my issue and provided even more assistance. Great job!",
SaaS Apps,SaaS,Excellent,
SaaS Apps,SaaS,Excellent,
Phoenix Cloud,Enterprise,Subject: : NAS Share auto discovery warning Support Engineer: Muzaffar Wangde Case #: 00186992 Excellent support and good knowledge. Quick response.,
Phoenix Cloud,Enterprise,First time using the support portal. Was amazed to get a phone call so soon. As a Wish list it would be nice to restore sql server database files to another device. Our development box for sql server is running on Windows 10.,
Native Workloads (CloudRanger),Enterprise,Excellent response time and follow through with the issue.,
Phoenix Cloud,Enterprise,"You had a good product overall. However it could use some polishing up. 1 - For my NAS backup I had a proxy down (failed upgrade) and only found out after my backups failed. The system shows if the proxy is connected, but it would be good to be notified by email when a proxy goes down. Especially if it is configured as part of a backup set (actively in use) 2 - Your documentation says it support CentOS 6.x releases, however your online ""proxy upgrade"" feature is broken for CentOS 6.x (reason for this support ticket). It seems like your development process is lacking testing/validation on the CentOS 6.x platform. Beyond that, you have a great support team and fast response. Thank you for the prompt and knowledgeable support! Sandeep is especially knowledgeable in supporting the NAS proxy. Thank you Sandeep!",
Endpoints,EP,Thank you for your prompt response. Thank you very much.,
SaaS Apps,SaaS,great,
Endpoints,EP,Thanks for your help Shardul,
Phoenix Cloud,Enterprise,"Nice to have such a quick response and the correct answer first time, brilliant support as always.",
SaaS Apps,SaaS,good,
Phoenix Cloud,Enterprise,"Muzaffar was excellent, I thought. Knowledgeable and professional, but always humble and polite. I would like to thank him for an impeccable support experience.",
Phoenix Cloud,Enterprise,I just want to mention that Sandeep Pillay was your staffer who worked with me through this issue. He took a very methodical and understandable path in seeking resolution to this curious issue. He made my Friday. Outstanding support.,
Phoenix Cloud,Enterprise,"Nair was great! Very knowledgeable, helpful and professional.",
Endpoints,EP,Thanks for quick response and resolution,
Endpoints,EP,Thanks for quick response and resolution,
Endpoints,EP,"Faizan has good knowledge about the tool, setup and he extended his expertise perfectly. He also shown good patience while working with us, as our user is also remote and it's 3 way remote working. Faizan is a good asset to have on support team. thank you Faizan. Regards, Bhavin",
Endpoints,EP,immediate response and provide solutions,
Endpoints,EP,Good,
SaaS Apps,SaaS,"Response was very prompt and professional, thank you.",
Phoenix Cloud,Enterprise,"Ravikiran Shetty is a consummate professional! He is extremely knowledgeable of Druva's technology and processes. While he was assisting us with the backups, he took the time to educate me with the other aspects of Druva. It was definitely a valuable learning experience. Thank you again Team Druva!",
Endpoints,EP,"As always, thank you for your prompt response. Thank you for patiently reading my poor English (Google Translate).",
Phoenix Cloud,Enterprise,Really appreciates for Technical support and behavior.,
Phoenix Cloud,Enterprise,Thanks for the support and really appreciate.,
Phoenix Cloud,Enterprise,Ravikiran was very patient and helpful.,
Phoenix Cloud,Enterprise,Vikram Pawar provided excellent support - quick to respond and easy to understand on the Zoom call.,
SaaS Apps,SaaS,"Outstanding work by Deep, as always. Thank you Deep!",
Native Workloads (CloudRanger),Enterprise,Support Engineer is so friendly and technically strong on Cloud Ranger.,
Endpoints,EP,Great support call. Thank you for your assistance.,
Endpoints,EP,Thanks Sadiya for quick response and I appreciate Druva Support Team also Sadiya Ji.,
Endpoints,EP,The engineer was very quick in resolving the issue and kept me updated throughout.,
Phoenix Cloud,Enterprise,N/A,
Endpoints,EP,We appreciate the proactive nature of your support. I didn't know what the issue was until I was contacted by your team.,
Endpoints,EP,The identifier of email should not be hard coded. I should be able to pick the identifier from the accounts.,
SaaS Apps,SaaS,Great stuff,
